"URL","Number of out links"
"https://www.debate.com.mx/show/Chiquis-Rivera-demuestra-que-su-cinturita-no-tiene-Photoshop-20200229-0215.html","195"
"https://www.debate.com.mx/chiquis-rivera-t640676","141"
"https://www.debate.com.mx/mundo/Tabare-Vazquez-Me-voy-con-la-conciencia-absolutamente-tranquila-20200229-0210.html","162"
"https://www.debate.com.mx/uruguay-t647519","141"
"https://www.debate.com.mx/show/Asi-luce-el-nuevo-rostro-de-Lyn-May-tras-ultima-cirugia-20200229-0203.html","188"
"https://www.debate.com.mx/lyn-may-t654867","141"
"https://www.debate.com.mx/pages/terminos-y-condiciones.html","105"
"https://www.debate.com.mx/seccion/opinion/","168"
"https://www.debate.com.mx/columnista/marco.berrelleza","132"
"https://www.debate.com.mx/opinion/Marco-Antonio-Berrelleza-Hoy-en-la-Historia-Rossini-20200228-0289.html","159"
"https://www.debate.com.mx/columnista/filiberto.inzunza","132"
"https://www.debate.com.mx/opinion/Filiberto-Inzunza-Ingenio-y-Figura-Muchas-interrogantes-en-la-Diamante-20200228-0306.html","171"
"https://www.debate.com.mx/columnista/tatiana.martinez","132"
"https://www.debate.com.mx/opinion/Tatiana-Martinez-Circulos-Festejemos-la-vida-de-todos-20200228-0287.html","171"
"https://www.debate.com.mx/columnista/sergio.mariscal","132"
"https://www.debate.com.mx/opinion/Sergio-Mariscal-Finta-y...Gol-El-Gran-Pez-ya-entro-en-agonia-en-Ascenso-20200228-0290.html","171"
"https://www.debate.com.mx/columnista/martha.chapa","132"
"https://www.debate.com.mx/opinion/Martha-Chapa-Divagaciones-de-la-Manzana-Dias-movidos-20200228-0277.html","171"
"https://www.debate.com.mx/salud/5-productos-Lysol-que-te-ayudan-a-desinfectar-tu-hogar--20200201-0069.html","191"
"https://www.debate.com.mx/salud-t641295","140"
"https://www.debate.com.mx/estados/Sientes-cansancio-todo-el-tiempo-esta-podria-ser-la-razon-20200217-0270.html","188"
"https://www.debate.com.mx/aquavital-t706261","117"
